DATA,SITE,COVER,STATUS,BA_HA,TPHA,QMD,PROP_PIRI,SDI,SG_m,SDI_99,REL_DEN
EJ,1,PINE,INF,48.6020465,1408.333333,20.96,0.278106509,986.9214616,0.483313609,1043.018059,0.946217041
EJ,2,PINE,INF,41.16009833,866.6666667,24.59,0.528846154,810.2306443,0.469519231,1071.966942,0.755835476
EJ,3,PINE,INF,33.13897015,800,22.97,0.447916667,655.8708531,0.534791667,934.9862083,0.7014765
EJ,4,PINE,INF,24.26466337,691.6666667,21.13,0.759036145,511.1709073,0.495542169,1017.355205,0.502450771
EJ,5,PINE,INF,24.45758445,508.3333333,24.75,1,489.5027989,0.47,1070.958,0.457070024
EJ,6,PINE,INF,28.38319015,391.6666667,30.38,0.872340426,535.5590488,0.485744681,1037.916213,0.515994492
EJ,7,PINE,INF,34.26575104,725,24.53,0.666666667,668.8372862,0.511264368,984.3605977,0.679463692
EJ,8,PINE,INF,27.47096617,425,28.69,0.803921569,514.5209874,0.486470588,1036.392824,0.496453638
EJ,9,PINE,INF,45.97906667,883.3333333,25.74,0.349056604,861.6560507,0.480849057,1048.19017,0.822041721
EJ,10,PINE,INF,31.88323295,1083.333333,19.36,0.646153846,683.8333131,0.516,974.4224,0.701783244
EJ,11,PINE,INF,41.13691095,958.3333333,23.38,0.382608696,809.1895446,0.540434783,923.1435652,0.876558723
EJ,12,PINE,INF,39.29867203,666.6666667,27.40,0.3125,747.2780373,0.50625,994.88375,0.75112096
EJ,13,HWMX,INF,56.9525395,1041.666667,26.38,0.192,1049.001438,0.44032,1133.244448,0.925662102
EJ,14,PINE,INF,22.62192276,450,25.30,0.722222222,435.9432366,0.503888889,999.8387778,0.436013532
EJ,15,PINE,INF,32.32169019,608.3333333,26.01,0.506849315,600.4456659,0.52109589,963.7281644,0.623044639
EJ,16,HWMX,INF,29.99381366,558.3333333,26.15,0.23880597,559.159632,0.55761194,887.0955821,0.63032625
EJ,17,PINE,INF,25.34681857,600,23.19,0.402777778,505.2227296,0.546527778,910.3568056,0.554972211
EJ,18,PINE,INF,30.71420807,825,21.77,0.414141414,632.2959812,0.543333333,917.0606667,0.689481083
EJ,19,PINE,INF,27.24144677,858.3333333,20.10,0.689320388,565.9697947,0.51038835,986.1990097,0.573890046
EJ,20,PINE,INF,36.29675259,1766.666667,16.17,0.849056604,844.0092825,0.489245283,1030.569849,0.81897339
EJ,21,PINE,UN,31.53922926,508.3333333,28.11,0.475409836,587.481991,0.527377049,950.5465246,0.61804654
EJ,22,PINE,UN,40.51006806,600,29.32,0.791666667,762.4396512,0.495972222,1016.452694,0.75009851
EJ,23,PINE,UN,28.86665051,466.6666667,28.06,0.392857143,526.5062589,0.523392857,958.90775,0.549068728
MH,A0,HWMX,INF,23.23974373,937.5,17.77,0.6,,,,
MH,B0,PINE,INF,27.17358513,406.25,29.18,0.784615385,,,,
MH,C0,PINE,INF,22.64100703,775,19.29,0.559139785,,,,
MH,D0,HWMX,INF,20.30007919,600,20.76,0.135416667,,,,
MH,E0,PINE,INF,22.18085507,406.25,26.37,0.415384615,,,,
MH,F0,PINE,INF,27.40622012,608.3333333,23.95,0.561643836,,,,
MH,G0,HWMX,INF,19.10205645,631.25,19.63,0.217821782,,,,
MH,H0,HWMX,INF,22.24479537,550,22.69,0.193181818,,,,
MH,I0,PINE,INF,19.70634331,400,25.05,0.515625,,,,
MH,J0,PINE,INF,23.58146116,468.75,25.31,0.453333333,,,,
MH,K0,PINE,INF,18.9908062,733.3333333,18.16,0.670454545,,,,
MH,L0,HWMX,INF,20.51756657,858.3333333,17.45,0.504854369,,,,
MH,M0,PINE,INF,24.79385316,1368.75,15.19,0.680365297,,,,
MH,N0,HWMX,INF,26.46809597,641.6666667,22.92,0.155844156,,,,
MH,O0,HWMX,INF,31.7585989,731.25,23.52,0.128205128,,,,
MH,P0,PINE,INF,24.55847992,716.6666667,20.89,0.88372093,,,,
MH,Q0,HWMX,INF,34.93138339,668.75,25.79,0.028037383,,,,
MH,R0,HWMX,INF,24.20110229,656.25,21.67,0.076190476,,,,
MH,S0,HWMX,INF,23.85111462,458.3333333,25.74,0.272727273,,,,
MH,T0,PINE,INF,14.10142156,675,16.31,0.111111111,,,,
MH,AC,HWMX,UN,20.41947242,562.5,21.50,0.333333333,,,,
MH,CC,PINE,UN,24.62841627,856.25,19.14,0.613138686,,,,
MH,FC,PINE,UN,22.85353194,433.3333333,25.91,0.346153846,,,,
MH,GC,HWMX,UN,30.24791036,712.5,23.25,0.114035088,,,,
MH,MC,PINE,UN,23.71020739,1191.666667,15.92,0.755244755,,,,
MH,SC,HWMX,UN,18.72090053,391.6666667,24.67,0.14893617,,,,
