ID,myVar
1,35.4
2,15.3
3,28.9
4,13.7
5,11.7
6,10.8
7,11.7
8,32.8
9,13.5
10,15
11,31
12,12.2
13,9.9
14,11.5
15,30.8
16,15.6
17,17
18,9.8
19,13.8
20,16.9
21,26.2
22,14.1
23,13.5
24,34.7
25,8.9
26,51.5
27,12.9
28,15.9
29,8.2
30,18.2
31,11.2
32,13.87198
33,27.8
34,12.7
35,18.2
36,10.6
37,17.7
38,29.5
39,11.6
40,44.5
41,12.5
42,12.4
43,14.1
44,44.2
45,8.5
46,39.2
47,11
48,9.9
49,11.1
50,9.7
51,21.5
52,14.2
53,11.5
54,9.6
55,21.9
56,28.7
57,9.2
58,10.3
59,13.5
60,13.1
61,16.5
62,26.3
63,34.2
64,11.8
65,9.4
66,7.6
67,25.6
68,34.2
69,18.9
70,15
71,10.9
72,20.6
73,39.3
74,11.6
75,16.8
76,8.8
77,25.4
78,15.24643
79,12.5
80,19
81,22.1
82,7.7
83,18.4
84,23.8
85,28.7
86,16.6
87,28.1
88,8.4
89,8.3
90,14.05524
91,8.19092
92,42.1
93,27.3
94,14.6
95,11
96,8.8
97,45.2
98,26.6
99,9
100,11.8
101,8.5
102,29.4
103,24.5
104,12.1
105,12.1
106,7.8
107,8.2
108,14.6
109,37.3
110,34
111,13.7
112,8
113,13.1
114,10.2
115,11
116,11.4
117,9.8
118,9.3
119,18.7
120,29
121,16.3
122,9
123,9.3
124,27.6
125,14.7
126,17.2
127,20.2
128,21.6
129,20.6
130,10.1
131,9.1
132,33.7
133,7.6
134,14
135,13.8
136,38.8
137,40.2
138,34
139,39.5
140,14
141,17.2
142,29.3
143,8
144,13.8
145,32.6
146,21.4
147,10.1
148,17.6
149,16.6
150,7.64114
151,15.6
152,10
153,45.9
154,13.4
155,10.5
156,11.3
157,8.2
158,9.1
159,31
160,13.5
161,10.8
162,36.9
163,11.8
164,18.1
165,8.8
166,8.7
167,41.2
168,11.2
169,23.3
170,23.6
171,21.7
172,35.95481
173,12.03938
174,38.42882
175,10.6
176,8.7
177,24.5
178,17
179,19.8
180,28.71604
181,11.67286
182,30.09049
183,27.983
184,12.5
185,16.8
186,33.57243
187,14
188,26.6
189,12.58916
190,34.30547
191,31.6
192,28.8
193,18.9
194,34.03058
195,28.99093
196,42.4
197,16.5
198,40.26142
199,13.9
200,25.9
201,33.66406
202,27.24996
203,9.9
204,37.2
205,16.71251
206,28.5
207,12.7
208,22.9
209,16.8
210,26.6
211,18.5
212,20.10282
213,21.1
214,26.9
215,11.12308
216,36
217,16.9
218,9.4
219,16.7
220,29.7
221,33.1
222,24.7
223,14.2385
224,12.31427
225,30.7
226,12
227,28.7
228,13.87198
229,18.6
230,29.17419
231,22.5
232,11.39797
233,27.5
234,20.8
235,16.2
236,26.70018
237,30.18212
238,22.4
239,15.79621
240,20.7
241,18.08696
242,28.34952
243,18
244,18.9
245,44
246,12.2
247,19.00326
248,15.8
249,23
250,16.2
251,19.5
252,28
253,12.5
254,14.3
255,24.5
256,37.8
257,27.7
258,41.63587
259,13.4
260,21.4
261,27.15833
262,13.6
263,34.3
264,34.9
265,12.5
266,38.6
267,25.5
268,19.9
269,23.7
270,25.32573
271,25.9
272,19.09489
273,28.25789
274,26.6
275,29.8156
276,9.8
277,9.1
278,10
279,42.46054
280,16
281,16.1
282,44.38477
283,15.3
284,13.59709
285,11.85612
286,12.8
287,18.4
288,40.1
289,13.7
290,13.2
291,24.2
292,12.9
293,10.8
294,8.3
295,15.7
296,39.16186
297,8.5
298,38.52045
299,26.3
300,23.4
301,9.3
302,10.5
303,8.9
304,38.15393
305,31.6482
306,12.1
307,37.97067
308,18.17859
309,26.8
310,36.96274
311,10
312,16.2
313,50.3
314,30.09049
315,14.9
316,21.20238
317,27.8
318,38.24556
319,20.37771
320,8.6
321,21.29401
322,9.1
323,9.4
324,24.13454
325,24.86758
326,11.5
327,14.2385
328,38.52045
329,7.8
330,11.8
331,8.7
332,19.82793
333,25.2
334,9.4
335,22.85172
336,33.75569
337,35.77155
338,42.00239
339,16.6
340,26.2
341,19.00326
342,14.97154
343,13.3222
344,12.5
345,35.03851
346,17.3
347,12.9
348,9.19885
349,21.01912
350,9.01559
351,18.45348
352,20.4
353,10.4
354,21.5
355,20.6
356,10.4
357,21.2
358,8.6
359,25.5
360,28
361,12.6
362,24
363,11.5
364,27.5
365,24.5
366,12.49753
367,26.5
368,33
369,9
370,23.30987
371,31.19005
372,9.7
373,7.7
374,24.22617
375,24.86758
376,27.15833
377,19.36978
378,20.37771
379,12.95568
380,24.22617
